species,id,head_length,body_lentgth,tail_length,weight,altitude,bio1_37,bio2_37,bio3_37,bio4_37,bio5_37,bio6_37,bio7_37,bio8_37,bio9_37,bio10_37,bio11_37,bio12_37,bio13_37,bio14_37,bio15_37,bio16_37,bio17_37,bio18_37,bio19_37,id_seq
E. myoxinus,K60_2011,41.26,90,157,65,110,256,95,72,1287,315,184,131,267,237,267,237,1447,297,25,84,821,100,608,100,PL1_Pool2_K60_2011_B_7
E. myoxinus,K64_2011,30.76,67,125,25,642,227,102,71,1523,292,150,142,242,205,242,205,1423,273,24,81,785,101,785,101,PL1_Pool2_K64_2011_B_8
E. myoxinus,K66_2011,36.9,70,137,32,767,217,104,72,1584,283,140,143,233,203,233,195,1410,270,24,81,774,99,751,100,PL1_Pool2_K66_2011_B_9
E. myoxinus,P72_2012,36.9,68,120,46,448,239,105,71,1319,306,160,146,250,220,250,220,1544,355,15,100,960,56,711,62,PL1_PoolX_P72_2012
E. carletoni,A27_2012,47.72,125,182,85,285,248,101,71,1259,313,171,142,258,230,259,229,1558,380,14,104,992,53,719,58,PL1_PoolX_A27_2012
E. carletoni,A34_2012,43.47,112,159,93,306,248,102,70,1251,314,169,145,257,230,259,229,1580,383,14,104,1006,52,730,57,PL1_Pool2_A34_C_7
E. carletoni,A39_2012,42.73,100,140,100,275,251,101,71,1248,316,174,142,261,233,262,232,1572,384,14,104,1003,52,725,58,PL1_Pool2_A39_A_36
E. carletoni,A39_2013,44.27,117,164,110,98,248,84,68,1577,306,183,123,265,232,265,226,1489,223,52,46,631,218,631,231,PL1_PoolX_A39_2013
E. carletoni,A42_2012,42.8,88,160,90,298,249,101,71,1266,314,172,142,258,230,260,230,1559,380,14,104,993,53,719,59,PL1_PoolX_A42_2012
E. carletoni,A46_2012,41.6,110,140,59,298,249,101,71,1266,314,172,142,258,230,260,230,1559,380,14,104,993,53,719,59,PL1_PoolX_A46_2012
E. carletoni,A51_2012,40.95,92,155,105,337,245,101,71,1296,309,167,142,255,226,256,225,1538,370,14,102,972,55,707,61,PL1_Pool1_37_A51_2012
E. carletoni,A53_2012,43.16,150,184,100,285,248,101,71,1259,313,171,142,258,230,259,229,1558,380,14,104,992,53,719,58,PL1_Pool1_48_A53_2012
E. carletoni,A55_2012,43.19,100,150,85,233,253,100,70,1224,317,176,141,263,235,264,235,1575,389,14,105,1009,52,727,58,PL1_Pool2_A55_E_3
E. carletoni,A68_2012,40.28,113,184,140,252,253,95,73,1240,311,181,130,263,234,263,234,1414,337,17,98,875,70,637,70,PL1_Pool3_34_A68_2012
E. carletoni,A70_2012,43.97,104,187,150,252,253,95,73,1240,311,181,130,263,234,263,234,1414,337,17,98,875,70,637,70,PL1_Pool2_48_A70_2012
E. carletoni,A77_2012,44.74,100,179,130,252,253,95,73,1240,311,181,130,263,234,263,234,1414,337,17,98,875,70,637,70,PL1_Pool2_A77_D_28
E. carletoni,A80_2012,45.87,90,193,150,215,250,95,72,1264,310,179,131,262,239,262,232,1410,335,17,98,871,70,871,71,PL1_Pool3_31_A80_2012
E. carletoni,B53_2013,45.72,102,174,100,380,236,98,72,1528,298,162,136,251,221,251,214,1440,262,31,71,742,131,742,133,PL1_Pool2_28_B53_2013
E. carletoni,B54_2013,41.98,107,165,95,336,239,97,72,1514,300,166,134,254,225,254,218,1447,265,32,71,743,134,716,136,PL1_Pool2_14_B54_2013
E. carletoni,B56_2013,45.26,103,178,100,380,236,98,72,1528,298,162,136,251,221,251,214,1440,262,31,71,742,131,742,133,PL1_Pool1_31_B56_2013
E. carletoni,B62_2013,41.15,100,154,80,380,236,98,72,1528,298,162,136,251,221,251,214,1440,262,31,71,742,131,742,133,PL1_Pool2_B62_2013_C_16
E. carletoni,B63_2013,42.6,109,178,95,336,239,97,72,1514,300,166,134,254,225,254,218,1447,265,32,71,743,134,716,136,PL1_PoolX_B63_2013
E. carletoni,B64_2013,44.12,107,180,95,336,239,97,72,1514,300,166,134,254,225,254,218,1447,265,32,71,743,134,716,136,PL1_PoolX_B64_2013
E. carletoni,BF37_2017,45.09,97,106,90,507,232,101,73,1443,295,157,138,246,211,246,211,1428,275,25,80,786,104,759,104,PL1_Pool1_12_BF37_2017
E. carletoni,BF69_2017,43.81,125,186,97,287,243,98,73,1401,304,170,134,256,223,256,223,1436,282,26,80,789,107,763,107,PL1_Pool2_37_BF68_2017
