Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
50600	2	11	0.001138	0.000578	-2521275.802
50700	2	11	0.001134	0.000617	-2521542.096
50800	2	11	0.001156	0.000582	-2521444.231
50900	2	11	0.001166	0.000602	-2521345.530
51000	2	11	0.001140	0.000602	-2521298.742
51100	2	11	0.001120	0.000588	-2521209.567
51200	2	11	0.001142	0.000625	-2521274.379
51300	2	11	0.001132	0.000600	-2521198.862
51400	2	11	0.001113	0.000590	-2521290.908
51500	2	11	0.001142	0.000582	-2521324.214
51600	2	11	0.001132	0.000621	-2521330.968
51700	2	11	0.001113	0.000580	-2521482.636
51800	2	11	0.001094	0.000622	-2521399.390
51900	2	11	0.001122	0.000628	-2521253.311
52000	2	11	0.001104	0.000608	-2521327.531
52100	2	11	0.001143	0.000606	-2521396.827
52200	2	11	0.001157	0.000618	-2521570.095
52300	2	11	0.001160	0.000592	-2521244.179
52400	2	11	0.001129	0.000589	-2521403.822
52500	2	11	0.001126	0.000585	-2521477.868
52600	2	11	0.001122	0.000603	-2521340.010
52700	2	11	0.001122	0.000620	-2521396.387
52800	2	11	0.001146	0.000617	-2521567.938
52900	2	11	0.001160	0.000608	-2521460.280
53000	2	11	0.001144	0.000602	-2521351.503
53100	2	11	0.001125	0.000618	-2521421.028
53200	2	11	0.001117	0.000636	-2521544.006
53300	2	11	0.001150	0.000601	-2521530.795
53400	2	11	0.001127	0.000603	-2521213.062
53500	2	11	0.001169	0.000594	-2521504.933
53600	2	11	0.001159	0.000603	-2521448.050
53700	2	11	0.001147	0.000604	-2521349.646
53800	2	11	0.001147	0.000597	-2521496.499
53900	2	11	0.001129	0.000619	-2521479.739
54000	2	11	0.001117	0.000588	-2521259.593
54100	2	11	0.001127	0.000638	-2521347.928
54200	2	11	0.001134	0.000642	-2521322.747
54300	2	11	0.001144	0.000604	-2521539.378
54400	2	11	0.001123	0.000584	-2521213.408
54500	2	11	0.001122	0.000599	-2521457.794
54600	2	11	0.001138	0.000633	-2521372.133
54700	2	11	0.001120	0.000606	-2521312.795
54800	2	11	0.001099	0.000583	-2521237.026
54900	2	11	0.001105	0.000600	-2521296.510
55000	2	11	0.001104	0.000611	-2521479.792
55100	2	11	0.001166	0.000627	-2521637.255
55200	2	11	0.001152	0.000616	-2521457.719
55300	2	11	0.001168	0.000593	-2521294.401
55400	2	11	0.001110	0.000601	-2521436.522
55500	2	11	0.001160	0.000628	-2521508.233
55600	2	11	0.001157	0.000650	-2521515.476
55700	2	11	0.001141	0.000645	-2521540.129
55800	2	11	0.001145	0.000593	-2521348.303
55900	2	11	0.001179	0.000624	-2521406.651
56000	2	11	0.001145	0.000610	-2521228.097
56100	2	11	0.001107	0.000581	-2521243.231
56200	2	11	0.001106	0.000584	-2521323.173
56300	2	11	0.001164	0.000642	-2521369.100
56400	2	11	0.001127	0.000595	-2521309.808
56500	2	11	0.001151	0.000643	-2521503.119
56600	2	11	0.001114	0.000606	-2521204.035
56700	2	11	0.001126	0.000620	-2521424.850
56800	2	11	0.001155	0.000625	-2521407.999
56900	2	11	0.001123	0.000621	-2521186.563
57000	2	11	0.001150	0.000596	-2521273.659
57100	2	11	0.001155	0.000591	-2521194.370
57200	2	11	0.001152	0.000580	-2521487.522
57300	2	11	0.001171	0.000605	-2521409.056
57400	2	11	0.001144	0.000603	-2521348.366
57500	2	11	0.001140	0.000593	-2521442.526
57600	2	11	0.001138	0.000623	-2521443.351
