Gen	np	tree	tau_4EminEmyoxEsp	lnL
30800	2	11	0.001091	0.000603	-2521392.399
30900	2	11	0.001095	0.000611	-2521557.517
31000	2	11	0.001104	0.000607	-2521528.675
31100	2	11	0.001141	0.000583	-2521354.275
31200	2	11	0.001143	0.000592	-2521377.952
31300	2	11	0.001179	0.000629	-2521589.078
31400	2	11	0.001150	0.000627	-2521782.963
31500	2	11	0.001155	0.000609	-2521444.553
31600	2	11	0.001125	0.000639	-2521580.387
31700	2	11	0.001123	0.000616	-2521340.938
31800	2	11	0.001111	0.000601	-2521436.130
31900	2	11	0.001126	0.000588	-2521614.502
32000	2	11	0.001140	0.000612	-2521577.677
32100	2	11	0.001154	0.000576	-2521497.229
32200	2	11	0.001150	0.000623	-2521548.732
32300	2	11	0.001120	0.000639	-2521446.562
32400	2	11	0.001154	0.000601	-2521509.111
32500	2	11	0.001127	0.000643	-2521540.043
32600	2	11	0.001140	0.000617	-2521449.042
32700	2	11	0.001104	0.000615	-2521530.874
32800	2	11	0.001166	0.000618	-2521666.252
32900	2	11	0.001135	0.000634	-2521332.965
33000	2	11	0.001105	0.000618	-2521532.288
33100	2	11	0.001089	0.000628	-2521450.056
33200	2	11	0.001103	0.000624	-2521477.064
33300	2	11	0.001114	0.000603	-2521606.518
33400	2	11	0.001131	0.000606	-2521654.053
33500	2	11	0.001141	0.000617	-2521491.832
33600	2	11	0.001170	0.000611	-2521730.828
33700	2	11	0.001166	0.000611	-2521360.406
33800	2	11	0.001128	0.000608	-2521630.405
33900	2	11	0.001122	0.000569	-2521534.355
34000	2	11	0.001158	0.000634	-2521632.269
34100	2	11	0.001177	0.000604	-2521500.582
34200	2	11	0.001176	0.000635	-2521562.446
34300	2	11	0.001174	0.000600	-2521665.893
34400	2	11	0.001135	0.000622	-2521416.352
34500	2	11	0.001148	0.000616	-2521513.700
34600	2	11	0.001116	0.000600	-2521569.479
34700	2	11	0.001144	0.000594	-2521582.910
34800	2	11	0.001115	0.000606	-2521364.874
34900	2	11	0.001126	0.000626	-2521617.527
35000	2	11	0.001124	0.000614	-2521476.668
35100	2	11	0.001119	0.000597	-2521459.074
35200	2	11	0.001158	0.000639	-2521504.087
35300	2	11	0.001112	0.000630	-2521401.576
35400	2	11	0.001128	0.000604	-2521338.886
35500	2	11	0.001144	0.000624	-2521594.687
35600	2	11	0.001111	0.000631	-2521601.635
35700	2	11	0.001134	0.000633	-2521582.283
35800	2	11	0.001134	0.000606	-2521434.857
35900	2	11	0.001138	0.000597	-2521444.438
36000	2	11	0.001121	0.000599	-2521386.753
36100	2	11	0.001112	0.000640	-2521395.587
36200	2	11	0.001151	0.000584	-2521465.306
36300	2	11	0.001146	0.000578	-2521541.442
36400	2	11	0.001126	0.000595	-2521497.798
36500	2	11	0.001114	0.000596	-2521201.896
36600	2	11	0.001105	0.000568	-2521456.585
36700	2	11	0.001136	0.000620	-2521676.677
36800	2	11	0.001098	0.000605	-2521477.041
36900	2	11	0.001167	0.000570	-2521512.665
37000	2	11	0.001164	0.000582	-2521277.115
37100	2	11	0.001168	0.000623	-2521470.381
37200	2	11	0.001137	0.000589	-2521572.492
37300	2	11	0.001128	0.000606	-2521446.423
37400	2	11	0.001143	0.000597	-2521569.349
37500	2	11	0.001127	0.000644	-2521430.693
37600	2	11	0.001137	0.000583	-2521554.931
37700	2	11	0.001110	0.000629	-2521506.574
37800	2	11	0.001100	0.000611	-2521475.849
37900	2	11	0.001073	0.000614	-2521530.077
38000	2	11	0.001124	0.000610	-2521508.022
38100	2	11	0.001100	0.000613	-2521451.160
38200	2	11	0.001112	0.000613	-2521627.823
38300	2	11	0.001132	0.000611	-2521407.054
38400	2	11	0.001123	0.000606	-2521376.382
38500	2	11	0.001133	0.000636	-2521482.290
38600	2	11	0.001149	0.000583	-2521463.665
38700	2	11	0.001148	0.000613	-2521469.344
38800	2	11	0.001146	0.000597	-2521301.634
38900	2	11	0.001149	0.000590	-2521556.185
39000	2	11	0.001151	0.000623	-2521552.570
39100	2	11	0.001137	0.000623	-2521399.952
39200	2	11	0.001128	0.000631	-2521361.606
39300	2	11	0.001161	0.000621	-2521567.363
39400	2	11	0.001140	0.000588	-2521417.214
39500	2	11	0.001151	0.000618	-2521566.973
39600	2	11	0.001136	0.000590	-2521464.455
39700	2	11	0.001130	0.000589	-2521333.030
39800	2	11	0.001138	0.000615	-2521612.686
39900	2	11	0.001095	0.000602	-2521559.511
40000	2	11	0.001120	0.000612	-2521605.012
40100	2	11	0.001118	0.000631	-2521454.394
40200	2	11	0.001134	0.000578	-2521425.950
40300	2	11	0.001141	0.000619	-2521460.003
40400	2	11	0.001140	0.000634	-2521431.124
40500	2	11	0.001150	0.000623	-2521552.613
40600	2	11	0.001132	0.000599	-2521517.370
40700	2	11	0.001139	0.000610	-2521481.396
40800	2	11	0.001151	0.000585	-2521514.115
40900	2	11	0.001122	0.000619	-2521293.386
41000	2	11	0.001134	0.000603	-2521379.954
41100	2	11	0.001130	0.000601	-2521359.505
41200	2	11	0.001119	0.000596	-2521505.775
41300	2	11	0.001147	0.000584	-2521395.198
41400	2	11	0.001115	0.000601	-2521364.015
41500	2	11	0.001116	0.000611	-2521426.274
41600	2	11	0.001156	0.000605	-2521355.645
41700	2	11	0.001135	0.000600	-2521361.934
41800	2	11	0.001141	0.000619	-2521508.739
41900	2	11	0.001113	0.000622	-2521632.015
42000	2	11	0.001121	0.000584	-2521440.702
42100	2	11	0.001159	0.000592	-2521538.055
42200	2	11	0.001144	0.000630	-2521572.375
42300	2	11	0.001098	0.000615	-2521423.352
42400	2	11	0.001119	0.000605	-2521492.633
42500	2	11	0.001128	0.000614	-2521459.290
42600	2	11	0.001124	0.000593	-2521399.817
42700	2	11	0.001114	0.000607	-2521440.597
42800	2	11	0.001128	0.000604	-2521448.124
42900	2	11	0.001135	0.000652	-2521385.073
43000	2	11	0.001111	0.000593	-2521420.306
43100	2	11	0.001151	0.000556	-2521383.517
43200	2	11	0.001124	0.000589	-2521581.656
43300	2	11	0.001151	0.000609	-2521538.918
43400	2	11	0.001093	0.000601	-2521284.517
43500	2	11	0.001104	0.000609	-2521468.719
43600	2	11	0.001112	0.000585	-2521436.423
43700	2	11	0.001156	0.000584	-2521344.452
43800	2	11	0.001130	0.000606	-2521533.082
43900	2	11	0.001147	0.000629	-2521498.838
44000	2	11	0.001132	0.000603	-2521510.767
44100	2	11	0.001137	0.000596	-2521332.017
44200	2	11	0.001177	0.000627	-2521629.780
44300	2	11	0.001146	0.000627	-2521434.587
44400	2	11	0.001106	0.000622	-2521286.933
44500	2	11	0.001126	0.000596	-2521384.298
44600	2	11	0.001120	0.000617	-2521354.882
44700	2	11	0.001112	0.000628	-2521296.476
44800	2	11	0.001136	0.000590	-2521477.671
44900	2	11	0.001115	0.000631	-2521325.339
45000	2	11	0.001087	0.000616	-2521385.998
45100	2	11	0.001107	0.000635	-2521359.170
45200	2	11	0.001109	0.000633	-2521570.259
45300	2	11	0.001111	0.000619	-2521461.235
45400	2	11	0.001130	0.000629	-2521588.599
45500	2	11	0.001103	0.000618	-2521327.046
45600	2	11	0.001131	0.000621	-2521571.971
45700	2	11	0.001136	0.000603	-2521518.725
45800	2	11	0.001160	0.000637	-2521509.946
45900	2	11	0.001143	0.000613	-2521494.778
46000	2	11	0.001152	0.000603	-2521582.493
46100	2	11	0.001143	0.000624	-2521637.640
46200	2	11	0.001145	0.000617	-2521559.130
46300	2	11	0.001144	0.000614	-2521697.750
46400	2	11	0.001143	0.000620	-2521516.098
46500	2	11	0.001136	0.000605	-2521310.861
46600	2	11	0.001102	0.000595	-2521464.634
46700	2	11	0.001115	0.000587	-2521445.906
46800	2	11	0.001114	0.000603	-2521306.227
