id_seq,id,latitude,longitude,species,site
PL1_Pool2_39_I11_2015,I11_2015,-13.62396,49.24358,E. myoxinus,ANDRA
PL1_PoolX_I10_2015,I10_2015,-13.62444,49.24383,E. myoxinus,ANDRA
PL1_Pool3_11_BK21_2018,BK21_2018,-14.24828,49.74902,E. myoxinus,ANDRANO
PL1_Pool2_G49_2015_D_21,G49_2015,-13.34435,49.45064,E. myoxinus,ANKI
PL1_Pool2_G62_2015_D_28,G62_2015,-13.35364,49.44673,E. myoxinus,ANKI
PL1_Pool2_G75_2015_E_3,G75_2015,-13.3503,49.45307,E. myoxinus,ANKI
PL1_Pool2_G76_2015_E_14,G76_2015,-13.35958,49.44322,E. myoxinus,ANKI
PL1_Pool2_G77_2015_E_27,G77_2015,-13.35582,49.45102,E. myoxinus,ANKI
PL1_Pool2_16_G48_2015,G48_2015,-13.34847,49.45039,E. myoxinus,ANKI
PL1_Pool2_32_G63_2015,G63_2015,-13.34754,49.45244,E. myoxinus,ANKI
PL1_Pool1_F52_B_13,F52_2015,-13.54525,49.55133,E. myoxinus,ANTSA
PL1_Pool1_F70_D_40,F70_2015,-13.54521,49.55079,E. myoxinus,ANTSA
PL1_Pool2_F78_B_9,F78_2015,-13.54718,49.54995,E. myoxinus,ANTSA
PL1_Pool3_9_F78_2015,F78_2015,-13.54718,49.54995,E. myoxinus,ANTSA
PL1_Pool2_31_F67_2015,F67_2015,-13.53862,49.53043,E. myoxinus,ANTSA
PL1_Pool2_38_F82_2015,F82_2015,-13.53412,49.5358,E. myoxinus,ANTSA
PL1_PoolX_F81_2015,F81_2015,-13.53363,49.54598,E. myoxinus,ANTSA
PL1_Pool1_H20_D_2,H20_2011,-13.21265,49.55706,E. myoxinus,ANTSB
PL1_Pool1_H40_D_26,H40_2011,-13.21353,49.55692,E. myoxinus,ANTSB
PL1_Pool1_H46_B_1,H46_2011,-13.20178,49.5641,E. myoxinus,ANTSB
PL1_Pool1_14_H25_2011,H25_2011,-13.20514,49.56552,E. myoxinus,ANTSB
PL1_Pool2_35_H81_2011,H81_2011,-13.21196,49.55741,E. myoxinus,ANTSB
PL1_PoolX_H19_2011,H19_2011,-13.21448,49.55575,E. myoxinus,ANTSB
PL1_PoolX_H26_2011,H26_2011,-13.2163,49.56255,E. myoxinus,ANTSB
